tconst,title,year,studio,genres,runtime_minutes,imdb_rating,total_gross,genre_list
tt1392170,the hunger games,2012,LGF,"Action,Adventure,Sci-Fi",142.0,7.2,694400000,"['Action,Adventure,Sci-Fi']"
tt0454876,life of pi,2012,Fox,"Adventure,Drama,Fantasy",127.0,7.9,609000000,"['Adventure,Drama,Fantasy']"
tt1637725,ted,2012,Uni.,"Comedy,Fantasy",106.0,6.9,549400000,"['Comedy,Fantasy']"
tt1217209,brave,2012,BV,"Adventure,Animation,Comedy",93.0,7.1,540500000,"['Adventure,Animation,Comedy']"
tt1772341,wreck-it ralph,2012,BV,"Adventure,Animation,Comedy",101.0,7.7,471200000,"['Adventure,Animation,Comedy']"
tt1853728,django unchained,2012,Wein.,"Drama,Western",165.0,8.4,425400000,"['Drama,Western']"
tt1446714,prometheus,2012,Fox,"Adventure,Mystery,Sci-Fi",124.0,7.0,403400000,"['Adventure,Mystery,Sci-Fi']"
tt1735898,snow white and the huntsman,2012,Uni.,"Action,Adventure,Drama",127.0,6.1,396600000,"['Action,Adventure,Drama']"
tt1397280,taken 2,2012,Fox,"Action,Thriller",92.0,6.3,376200000,"['Action,Thriller']"
tt0837562,hotel transylvania,2012,Sony,"Animation,Comedy,Family",91.0,7.1,358400000,"['Animation,Comedy,Family']"
tt1397514,journey 2: the mysterious island,2012,WB (NL),"Action,Adventure,Comedy",94.0,5.8,335300000,"['Action,Adventure,Comedy']"
tt1764651,the expendables 2,2012,LGF,"Action,Adventure,Thriller",103.0,6.6,314900000,"['Action,Adventure,Thriller']"
tt1446192,rise of the guardians,2012,P/DW,"Action,Adventure,Animation",97.0,7.3,306900000,"['Action,Adventure,Animation']"
tt1646987,wrath of the titans,2012,WB,"Action,Adventure,Fantasy",99.0,5.7,305300000,"['Action,Adventure,Fantasy']"
tt1440129,battleship,2012,Uni.,"Action,Adventure,Sci-Fi",131.0,5.8,303000000,"['Action,Adventure,Sci-Fi']"
tt0401729,john carter,2012,BV,"Action,Adventure,Sci-Fi",132.0,6.6,284200000,"['Action,Adventure,Sci-Fi']"
tt1194173,the bourne legacy,2012,Uni.,"Action,Adventure,Thriller",135.0,6.7,276100000,"['Action,Adventure,Thriller']"
tt0443272,lincoln,2012,BV,"Biography,Drama,History",150.0,7.4,275300000,"['Biography,Drama,History']"
tt1077368,dark shadows,2012,WB,"Comedy,Fantasy,Horror",113.0,6.2,245500000,"['Comedy,Fantasy,Horror']"
tt1855325,resident evil: retribution,2012,SGem,"Action,Horror,Sci-Fi",95.0,5.4,240000000,"['Action,Horror,Sci-Fi']"
tt1045658,silver linings playbook,2012,Wein.,"Comedy,Drama,Romance",122.0,7.7,236400000,"['Comedy,Drama,Romance']"
tt1605630,american reunion,2012,Uni.,Comedy,113.0,6.7,235000000,['Comedy']
tt1024648,argo,2012,WB,"Biography,Drama,Thriller",120.0,7.7,232300000,"['Biography,Drama,Thriller']"
tt0790724,jack reacher,2012,Par.,"Action,Crime,Thriller",130.0,7.0,218400000,"['Action,Crime,Thriller']"
tt1599348,safe house,2012,Uni.,"Action,Adventure,Crime",115.0,6.8,208100000,"['Action,Adventure,Crime']"
tt1232829,21 jump street,2012,Sony,"Action,Comedy,Crime",109.0,7.2,201500000,"['Action,Comedy,Crime']"
tt1606389,the vow,2012,SGem,"Drama,Romance",104.0,6.8,196100000,"['Drama,Romance']"
tt1667353,mirror mirror,2012,Rela.,"Adventure,Comedy,Drama",106.0,5.6,183000000,"['Adventure,Comedy,Drama']"
tt1649419,the impossible,2012,LG/S,"Drama,History,Thriller",114.0,7.6,180300000,"['Drama,History,Thriller']"
tt1645170,the dictator,2012,Par.,Comedy,83.0,6.4,179400000,['Comedy']
tt1276104,looper,2012,TriS,"Action,Crime,Drama",113.0,7.4,176500000,"['Action,Crime,Drama']"
tt1915581,magic mike,2012,WB,"Comedy,Drama",110.0,6.1,167200000,"['Comedy,Drama']"
tt1907668,flight,2012,Par.,"Drama,Thriller",138.0,7.3,161800000,"['Drama,Thriller']"
tt1496025,underworld awakening,2012,SGem,"Action,Fantasy,Horror",88.0,6.4,160100000,"['Action,Fantasy,Horror']"
tt1596350,this means war,2012,Fox,"Action,Comedy,Romance",103.0,6.3,156500000,"['Action,Comedy,Romance']"
tt2109184,paranormal activity 4,2012,Par.,"Horror,Mystery,Thriller",88.0,4.6,142800000,"['Horror,Mystery,Thriller']"
tt1800741,step up revolution,2012,LG/S,"Drama,Music,Romance",99.0,6.5,140500000,"['Drama,Music,Romance']"
tt1790885,zero dark thirty,2012,Sony,"Drama,Thriller",157.0,7.4,132800000,"['Drama,Thriller']"
tt1371111,cloud atlas,2012,WB,"Action,Drama,Mystery",172.0,7.4,130500000,"['Action,Drama,Mystery']"
tt1596365,the woman in black,2012,CBS,"Drama,Fantasy,Horror",95.0,6.4,127700000,"['Drama,Fantasy,Horror']"
tt1430626,the pirates! band of misfits,2012,Sony,"Adventure,Animation,Comedy",88.0,6.7,123100000,"['Adventure,Animation,Comedy']"
